suffix;len;count;%count;der;die;das;%der;%die;%das;rev
-borat;5;26;0.00;0;0;26;0.00;0.00;100.00;tarob-
-gekur;5;1;0.00;0;1;0;0.00;100.00;0.00;rukeg-
-öchit;5;1;0.00;1;0;0;100.00;0.00;0.00;tihcö-
-opy;3;2;0.00;0;2;0;0.00;100.00;0.00;ypo-
-nsmut;5;1;0.00;1;0;0;100.00;0.00;0.00;tumsn-
-flupe;5;1;0.00;0;1;0;0.00;100.00;0.00;epulf-
-flap;4;1;0.00;1;0;0;100.00;0.00;0.00;palf-
-ganie;5;1;0.00;0;1;0;0.00;100.00;0.00;einag-
-uhtli;5;1;0.00;1;0;0;100.00;0.00;0.00;ilthu-
-essöl;5;1;0.00;0;0;1;0.00;0.00;100.00;lösse-
-kropf;5;3;0.00;3;0;0;100.00;0.00;0.00;fpork-
-ira;3;17;0.00;2;10;5;11.76;58.82;29.41;ari-
-tpuls;5;5;0.00;5;0;0;100.00;0.00;0.00;slupt-
-dagio;5;2;0.00;0;0;2;0.00;0.00;100.00;oigad-
-scurl;5;1;0.00;1;0;0;100.00;0.00;0.00;lrucs-
-tpult;5;2;0.00;0;0;2;0.00;0.00;100.00;tlupt-
-mzeug;5;2;0.00;0;0;2;0.00;0.00;100.00;guezm-
-flat;4;3;0.00;1;0;2;33.33;0.00;66.67;talf-
-jule;4;1;0.00;0;1;0;0.00;100.00;0.00;eluj-
-aduna;5;1;0.00;0;0;1;0.00;0.00;100.00;anuda-
-liud;4;1;0.00;0;0;1;0.00;0.00;100.00;duil-
-scuro;5;1;0.00;0;0;1;0.00;0.00;100.00;orucs-
-ire;3;66;0.00;3;6;57;4.55;9.09;86.36;eri-
-ganik;5;2;0.00;0;2;0;0.00;100.00;0.00;kinag-
-zlege;5;1;0.00;0;1;0;0.00;100.00;0.00;egelz-
-enach;5;2;0.00;0;0;2;0.00;0.00;100.00;hcane-
-usbär;5;2;0.00;2;0;0;100.00;0.00;0.00;räbsu-
-davel;5;1;0.00;0;0;1;0.00;0.00;100.00;levad-
-ähton;5;1;0.00;1;0;0;100.00;0.00;0.00;nothä-
-ganin;5;2;0.00;0;0;2;0.00;0.00;100.00;ninag-
